"","abstract.id","sort.id","FulltextReviewer.initial","title","author","short_citation","StudyType","StudyType_Processed","TaskforceAllocation","Scale","What.is.the.scale.of.the.shift","Scale_Processed","FulltextTopicIdentifier","InteractionType","InteractionType_Processed","journal","volume","number","pages","year","doi","Timestamp","FulltextReviewer","SpeciesInteracting","Species_Processed","TraitDescription","SpeciesTraitVariation","GeneticNotes","Trait_Processed","Is.there.a.shift.in.the.interaction","What.is.the.direction.of.shift","What.factors.are.driving.that.shift","What.is.the.ecological.impact.of.the.interaction.and.shift.of.that.interaction","Shift_Processed","Is.there.a.connection.to.the.NC3","Reviewer.notes","Reviewer.outstanding.concerns","ReviewerDecision","ReviewerDecisionReason","ReviewerDecision.checked.by","FinalDecision","FinalDecisionReason","FinalDecisionNotes","used.in.main.text.","WOS","SCO","Ref_Processed","TypeScale_Processed"
"1","MA92",1,"CM","Direct and indirect effects of pollinators and seed predators to selection on plant and floral traits","Cariveau, D and Irwin, RE and Brody, AK and Garcia-Mayeya, LS and von der Ohe, A","(Cariveau et al., 2004)","Experimental","Experimental","Interspecific","Inter-specific (>2 species)","Individuals","Interspecific","plant-animal","Consumer-resource/predator-prey, Plant-pollinator/seed predator","Consumer-resource/plant-animal","OIKOS",104,1,"15-26",2004,"10.1111/j.0030-1299.2004.12641.x","43781.17111","CM","plant: Castilleja linariaefolia; pollinators: Selasphorus platycerus and S. rufus (hummingbirds): florivores/seed predators: Platyptila pica (plume moth), Phytomyza spp. (fly)","Wyoming Indian paintbrush (Castilleja linariaefolia); broad-tailed hummingbird (Selasphorus platycercus); rufous hummingbird (Selasphorus rufus); plume moth (Platyptilia pica); leaf-miner flies (genus Phytomyza)","calyx length, flower production, plant height -> influence pollination success","plant","","Morphological traits in C. linariaefolia (calyx length, flower production, plant height)","Yes","Mutualistic to antagonistic, Antagonistic to mutualistic","flower traits are selected by pollinators and seed-predators","change in reproductive success of a plant","Variation in morphological traits reduce the strength of mutualistic interactions with animals (e.g. pollination) and increase antagonistic interactions (e.g. flower resource exploitation without pollination)",NA,"Species interactions of more than 2 species - makes it quite complex",NA,"Yes","","NM","Include",NA,"Agree with reviewer decision","Cons-res","y","y","(Cariveau et al., 2004) MA92","Consumer-resource/plant-animal (Interspecific)"
"2","MA60",2,"CM","Competing for seed dispersal: evidence for the role of avian seed hoarders in mediating apparent predation among oaks","Pesendorfer, Mario B. and Koenig, Walter D.","(Pesendorfer et al., 2016)","Observational","Observational","Interspecific","Inter-specific (>2 species)","Individuals, Landscape-wide seed availability","Interspecific","plant-animal","Consumer-resource/predator-prey, Plants - seed dispersers/predators","Consumer-resource/plant-animal","FUNCTIONAL ECOLOGY",31,3,"622-631",2017,"10.1111/1365-2435.12770","43781.16076","CM","plants: Quercus lobata, Q. agrifolia, Q. douglasii; birds: Aphelocoma californica and Melanerpes formicivorus","valley oak (Quercus lobata); California scrub-jay (Aphelocoma californica); acorn woodpecker (Melanerpes formicivorus)","seed crop size and acorn availability","plants",NA,"Reproductive traits in Q. lobata (seed production and availability)","Yes","Mutualistic to antagonistic","seed availability affects seed dispersal quality of Aphelocoma californica","apparent predation can arise from contrasting responses of seed predators to acorn availability","Variation in seed production can favour mutualistic (e.g. seed dispersal), or antagonistic (seed predation) interactions with animal community",NA,"Traits of both players need to be considered, tree trait: seed availability; bird trait: seed predation dynamimcs","quite complex, as there are multiple players (3 tree and 2 bird species) which interact","Yes","","NM","Include",NA,"Agree with reviewer decision","Cons-res","y","y","(Pesendorfer et al., 2016) MA60","Consumer-resource/plant-animal (Interspecific)"
"3","MA160",3,"NC","Functional consequences of plant-animal interactions along the mutualism-antagonism gradient","Rodrguez-Rodrguez, M.C. and Jordano, P. and Valido, A.","(Rodriguez-Rodriguez et al., 2017)","Observational","Observational","Interspecific","Inter-specific (>2 species)","Individuals","Interspecific","plant-animal","Host-symbiont, Consumer-resource/predator-prey","Consumer-resource/plant-animal","Ecology",98,5,"1266-1276",2017,"10.1002/ecy.1756","44013.24046","NC","Isoplexis canariensis, mutualists and antagonists","Canary Island foxglove (Isoplexis canariensis); various mutualistic/antagonistic animal species","centrality in the mating network allows more mutualist","Isoplexis canariensis","no","Position of plant within local community (likely associated with dispersal traits)","yes","Mutualistic to antagonistic","distance to conspecifics","higher reproductive success via higher levels of mutualism for more central plants","More central plants derived greater mutualistic benefits from animal interactions (e.g. pollination success)","yes","spatial rather than phenotypic/genetic determination of the shift","","Yes","","NM","Include",NA,"Agree with reviewer decision, defining the trait is tricky, but within-species variation assocaited with mutualistic-antagonistic variation is clear.","Cons-res","y","y","(Rodriguez-Rodriguez et al., 2017) MA160","Consumer-resource/plant-animal (Interspecific)"
"4","non-systematic",4,NA,"Selection for protection in an ant–plant mutualism: host sanctions, host modularity, and the principal–agent game","Edwards, D.P., Hassall, M., Sutherland, W.J., & Yu, D.W.","(Edwards et al., 2017)",NA,"Experimental",NA,NA,NA,"Interspecific",NA,NA,"Host-symbiont; Consumer-resource/plant-animal","Proc Biol Sci",273,NA,"595–602",2006,"10.1098/rspb.2005.3273.",NA,NA,NA,"Cordia nodosa; Allomerus octoarticulatus",NA,NA,NA,"Behavioural phenotype of A. octoarticulatus (feeding on host plants); Selective senescence of C. nodosa leaves",NA,NA,NA,NA,"Ants nesting on leaves can feed on host tissue, where plants appear to saction this behaviour by selective senescence of damages leaves",NA,NA,NA,NA,NA,NA,"Include",NA,"Non-systematically sources article","Cons-res","y","y","(Edwards et al., 2017) non-systematic","Host-symbiont; Consumer-resource/plant-animal (Interspecific)"
"5","MA344",5,"NC","Spatial consequences for dolphins specialized in foraging with fishermen","Cantor, Mauricio and Simoes-Lopes, Paulo C. and Daura-Jorge, Fabio G.","(Cantor et al., 2018)","Observational","Observational","Interspecific","Inter-specific (2 species), Intra-specific (within population)","","Interspecific","competition-cooperation","Competition-cooperation","Competition-cooperation","ANIMAL BEHAVIOUR",139,NA,"19-27",2018,"10.1016/j.anbehav.2018.03.002","43983.34922","NC","Tursiops truncatus, Homo sapiens","Bottlenose dolphin (Tursiops truncatus); human (Homo sapiens)","cooperativeness","Tursiops truncatus","No","Behavioural phenotype of T. truncatus (foraging behaviour, human cooperativeness) ","No","","","Cooperativeness decreases necessary foraging area and sometimes increases site conservatism.","Variation in cooperative behaviour/foraging behaviour linked to variation from a competitive to a beneficial interaction with human fisherman","Yes, promotion of individual-level traits ","","No within-individual shift","Yes","","NM","Include",NA,"Agree with reviewer decision, among-individual variation in compeitive-cooperative interactions with fisherman if sufficient to show variation in the interaction","Cons-res","y","y","(Cantor et al., 2018) MA344","Competition-cooperation (Interspecific)"
"6","MA267",6,"CM","Parabiotic associations between tropical ants: Equal partnership or parasitic exploitation?","Menzel, F. and Blüthgen, N.","(Menzel and Blüthgen, 2010)","Experimental","Experimental","Interspecific","Inter-specific (2 species)","nests as entities","Interspecific","competition-cooperation","Competition-cooperation","Competition-cooperation","Journal of Animal Ecology",79,1,"71-81",2010,"10.1111/j.1365-2656.2009.01628.x","43811.00078","CM","Crematogaster modiglianii and Camponotus rufifemur (ant species)","Crematogaster modiglianii; Camponotus rufifemur","nest initiation, foraging, trail.following, nest defence","both ant species",NA,"Behavioural phenotype of Cr. modiglianii (tendency to initiate a nest, foraging, trail following, nest defence)","yes","Mutualistic to antagonistic","Involvement of epiphyte (Poikilospermum cordifolium)","foraging niches in parabiotic nests","Interaction of C. modiglianii with C. rufifemur shifts towards a parabiosis/apparent mutualism, when conditions are suitable for nest cohabitation (e.g. with the presence of an epiphyte),  with likely changes in C. modiglianii nest defence and foraging behaviour","different trophic niches in species interactions",NA,"somehow complex, a third ant species and a plant are also invloved in the interactions; I focused on the two main ant players","Yes","","NM","Include",NA,"Agree with reviewer decision","Cons-res","y","y","(Menzel and Blüthgen, 2010) MA267","Competition-cooperation (Interspecific)"
"7","MA353",7,"CM","State-space modelling of the drivers of movement behaviour in sympatric species","Perez-Barbera, F.J. and Small, M. and Hooper, R.J. and Aldezabal, A. and Soriguer-Escofet, R. and Bakken, G.S. and Gordon, I.J.","(Perez-Barberia et al., 2015)","Modelling/theory","Observational; Modelling/theory","Interspecific","Inter-specific (2 species)","Individuals","Inter- and Intraspecific","competition-cooperation","Competition-cooperation","Competition-cooperation","PLoS ONE",10,11,NA,2015,"10.1371/journal.pone.0142707","43811.00872","CM","Ovis aries (sheep) and Cervus elaphus (red deer)","sheep (Ovis aries); red deer (Cervus elaphus)","movement, food preferences, thermal insulation","in both species",NA,"Behavioural (movement and foraging) and physiological (thermal insulation) phenotypes","yes","Mutualistic to antagonistic","density","multi-species animal movement under different babitat mosaics and abiotic environmental conditions","Spatial variation is the level of swarming behaviour (cooperative) and swarming repulsion (competitive) interactions across within and between species of grazing herbivore, partially driven by density","Potentially for movement data and density-dependence aspects",NA,NA,"Yes","","NM","Include",NA,"Agree with reviewer decision","Cons-Res","","y","(Perez-Barberia et al., 2015) MA353","Competition-cooperation (Inter- and Intraspecific)"
"8","MA224",8,"JK","Intraspecific variation in indirect plant-soil feedbacks influences a wetland plant invasion","Allen, Warwick J. and Meyerson, Laura A. and Flick, Andrew J. and Cronin, James T.","(Allen et al., 2018)","Experimental","Experimental","Interspecific","Inter-specific (>2 species)","Populations","Interspecific","host-symbiont","Competition-cooperation","Competition-cooperation","ECOLOGY",99,6,"1430-1440",2018,"10.1002/ecy.2344","2/26/2020 8:20:01","JK","Phragmites australis, Spartina alterniflora, soil biota","common reed (Phragmites australis); smooth cordgrass (Spartina alterniflora)","P. australis lineages (invasive, native)","P. australis","P. australis lineages differ genetically","Invasive history of P. australis individuals, associated with genetic lineage ","yes","Antagonistic to mutualistic","soil biota","invasion success","Differential effects of lineages on soil biota changes the outcome of a pathogen/mutualist spillover (apparent competition-mutualism) interaction between species","potential niche construction via soil biota","complex interaction of two plant species mediated via soil","","Yes","","NM","Include",NA,"Agree with reviewer decision","Cons-res","y","y","(Allen et al., 2018) MA224","Competition-cooperation (Interspecific)"
"9","MA411",9,"NC","Wolbachia requirement for oogenesis: occurrence within the genus Asobara (Hymenoptera, Braconidae) and evidence for intraspecific variation in A-tabida","Dedeine, F and Bouletreau, M and Vavre, F","(Dedeine et al., 2005)","Observational, Experimental","Observational; Experimental","Interspecific","Inter-specific (>2 species), Intra-specific (between populations)","Populations, Species","Interspecific","host-symbiont","Host-symbiont","Host-symbiont","HEREDITY",95,5,"394-400",2005,"10.1038/sj.hdy.6800739","43983.41154","NC","Asobara wasps, Wolbachia","Asobara tabida; wolbachia strains (genus Wolbachia)","Species and strain genotypes","Asobara wasps","Between-population differences","Variation in reproductive traits between A. tabida populations","Continuum of emancipation from symbionts","Obligate symbiosis to no symbiosis","phylogeny (co-evolution?)","Potential development of resistance of antibiotics","Differences in reproduction between populations, where some are reliant on wolbachia, where others wolbachia infection provides no reproductive benefit","Yes","","Only yes/no, not variation within populations. The variation shown has no fitness effects. Fitness is always symbiont-dependent.","Yes","","NM","Include",NA,"Agree with reviewer decision","Host-sym","y","","(Dedeine et al., 2005) MA411","Host-symbiont (Interspecific)"
"10","MA157",10,"JW","From pattern to process: Species and functional diversity in fungal endophytes of Abies beshanzuensis","Yuan, Z.-L. and Rao, L.-B. and Chen, Y.-C. and Zhang, C.-L. and Wu, Y.-G.","(Yuan et al., 2011)","Observational","Observational","Interspecific","Inter-specific (>2 species)","Individuals, Species","Interspecific","host-symbiont","Host-symbiont","Host-symbiont","Fungal Biology",115,3,"197-213",2011,"10.1016/j.funbio.2010.11.002","1/28/2020 2:50:50","JW","Baishan fir (Abies beshanzuensis) and its endophytic fungi","baishan fir (Abies beshanzuensis); endophytic fungi community (subkingdom Dikarya)","Defensive traits","endophytic fungi species","Diversity in laccase genes contributes to ability to decompose needles","Chemical defence traits of Dikarya fungi (ligninolytic enzyme production), linked to laccase genes","Not specifically, but mentions it is possible","Mutualistic to antagonistic","Ecological, genetic","Functional variation (and complementarity) in the fungal community may increase host fitness and optimize ecological processes and ecosystem functioning","Substantial variation in chemical traits within fungi species, which under certain condition may enhance nutrient-access, provide fitness benefits for the host, or act as a parasite","Yes",NA,"This paper speculated that trait variation may drive a shift in the interaction between commensal to parasite, but it as not shown here","Maybe","There is no shift in the quality of the interaction","NM","Include",NA,"Considered that there is a lot of intraspecific variation in chemical traits, is presented in the context that this can shift between providing benefits to the host tree and being a decomposer/parasite (see Introduction re: ligninolytic enzymes)","Host-sym","","y","(Yuan et al., 2011) MA157","Host-symbiont (Interspecific)"
